Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
S.MUSE.2019-08-05T19:32:31.166.fits,J013340+040059,23.418223,4.01661,2019-07-12 09:25:00,MUSE.2019-07-12T09:25:00.836,970.0,WFM-NOAO-E,0.83 [0.08],1.24,460.044..935.169,2989.49145507812
S.MUSE.2019-08-28T04:00:46.250.fits,2MASX J20112386-0259503,302.850357,-2.99739,2019-08-03 05:40:50,MUSE.2019-08-03T05:40:50.883,612.0,WFM-AO-N,0.84 [0.08],1.17,469.994..934.994,3014.10302734375
S.MUSE.2019-08-28T04:45:30.560.fits,J013340+040059,23.418083,4.01675,2019-08-04 08:07:36,MUSE.2019-08-04T08:07:36.778,965.0,WFM-NOAO-E,0.52 [0.04],1.21,460.041..935.166,2989.48046875
S.MUSE.2019-08-28T04:50:27.406.fits,J013340+040059,23.418223,4.01647,2019-08-04 08:43:41,MUSE.2019-08-04T08:43:41.024,960.0,WFM-NOAO-E,0.47 [0.04],1.16,460.041..935.166,2989.48046875
S.MUSE.2019-08-28T04:58:19.563.fits,J013340+040059,23.417944,4.01647,2019-08-04 09:42:44,MUSE.2019-08-04T09:42:44.202,960.0,WFM-NOAO-E,0.44 [0.04],1.14,460.041..935.166,2989.48095703125
S.MUSE.2019-08-28T06:02:16.273.fits,J013340+040059,23.418083,4.01661,2019-08-05 07:57:59,MUSE.2019-08-05T07:57:59.749,965.0,WFM-NOAO-E,0.60 [0.08],1.22,460.041..935.166,2989.47924804688
S.MUSE.2019-08-28T06:07:08.266.fits,J013340+040059,23.418223,4.01661,2019-08-05 08:34:08,MUSE.2019-08-05T08:34:08.903,970.0,WFM-NOAO-E,0.61 [0.08],1.17,460.041..935.166,2989.47924804688
S.MUSE.2019-08-28T06:11:03.593.fits,J013340+040059,23.418223,4.01647,2019-08-05 09:33:38,MUSE.2019-08-05T09:33:38.987,960.0,WFM-NOAO-E,0.53 [0.04],1.14,460.041..935.166,2989.47973632812
S.MUSE.2019-09-28T07:34:37.106.fits,SDSS J020022,30.094747,0.65954,2019-08-26 09:33:37,MUSE.2019-08-26T09:33:37.675,900.0,WFM-AO-E,0.44 [0.03],1.16,460.036..935.161,2989.451171875
S.MUSE.2019-09-28T09:28:59.383.fits,2MASX J19322229-0400010,293.092844,-4.00079,2019-08-29 02:23:33,MUSE.2019-08-29T02:23:33.891,612.0,WFM-AO-N,0.70 [0.05],1.08,469.970..934.970,3013.97875976562
S.MUSE.2019-10-03T18:29:26.226.fits,Fornax dSph CL6,40.029503,-34.42111,2019-08-31 09:07:11,MUSE.2019-08-31T09:07:11.278,1380.0,WFM-AO-N,0.71 [0.05],1.02,470.021..935.021,3014.23852539062
S.MUSE.2019-10-03T21:14:46.156.fits,PSSJ0133p0400,23.419101,4.01744,2019-09-02 08:33:44,MUSE.2019-09-02T08:33:44.891,1482.0,WFM-NOAO-N,1.21 [0.17],1.19,475.031..935.031,3026.87426757812
S.MUSE.2019-10-09T15:22:02.456.fits,SN2015W,104.433346,13.56047,2019-09-16 09:20:53,MUSE.2019-09-16T09:20:53.020,120.0,WFM-NOAO-N,1.01 [0.04],1.72,475.042..935.167,3027.24584960938
S.MUSE.2019-12-21T22:05:23.490.fits,Q2139-4443,325.599125,-44.3304,2019-11-16 00:53:57,MUSE.2019-11-16T00:53:57.851,1450.0,WFM-AO-E,0.77 [0.06],1.19,459.960..934.960,2988.7548828125
S.MUSE.2020-01-02T20:57:27.296.fits,CTS_G18.01 Southeast,10.396447,-49.61382,2019-11-27 01:31:29,MUSE.2019-11-27T01:31:29.091,900.0,WFM-AO-N,0.48 [0.05],1.11,469.968..934.968,3013.96997070312
S.MUSE.2020-01-04T22:26:07.340.fits,FCC335,57.65403,-35.90975,2019-11-23 08:18:54,MUSE.2019-11-23T08:18:54.668,600.0,WFM-NOAO-N,0.61 [0.11],1.59,474.991..934.991,3026.6708984375
S.MUSE.2020-02-07T22:22:23.743.fits,SDSSJ0947+0725,146.93823,7.42211,2020-02-03 05:17:31,MUSE.2020-02-03T05:17:31.198,845.0,WFM-AO-N,0.58 [0.06],1.18,470.010..935.010,3014.18212890625
S.MUSE.2020-02-28T00:56:26.676.fits,KKH86,208.639475,4.24302,2020-02-21 08:50:31,MUSE.2020-02-21T08:50:31.798,900.0,WFM-NOAO-N,0.81 [0.08],1.14,475.036..935.161,3027.21606445312
S.MUSE.2020-03-06T10:19:25.623.fits,SDSSJ1004+1446,151.198335,14.77936,2020-03-02 04:15:44,MUSE.2020-03-02T04:15:44.045,845.0,WFM-AO-N,0.52 [0.02],1.29,469.989..934.989,3014.07397460938
S.MUSE.2020-04-17T11:14:07.000.fits,GAMAJ140913.26+014659.6,212.304518,1.78248,2020-03-20 08:37:47,MUSE.2020-03-20T08:37:47.282,1320.0,WFM-AO-N,0.85 [0.16],1.23,470.023..935.023,3014.24462890625
S.MUSE.2020-04-21T09:45:51.700.fits,analogue28,133.090417,12.28103,2020-03-24 00:16:54,MUSE.2020-03-24T00:16:54.986,612.0,WFM-AO-N,1.29 [0.03],1.32,469.963..934.963,3013.94458007812
S.MUSE.2021-01-09T10:40:01.820.fits,Q2139-4443,325.598075,-44.33115,2020-11-12 00:52:42,MUSE.2020-11-12T00:52:42.322,1450.0,WFM-AO-E,0.66 [0.06],1.16,459.959..934.959,2988.7529296875
S.MUSE.2021-01-13T08:23:54.923.fits,AM0400-420,60.464907,-41.9432,2020-11-21 00:26:04,MUSE.2020-11-21T00:26:04.021,450.0,WFM-NOAO-N,0.60 [0.04],1.74,474.992..934.992,3026.67724609375
S.MUSE.2021-01-15T12:53:42.283.fits,Arp332B,47.043373,-22.92668,2020-11-23 00:24:05,MUSE.2020-11-23T00:24:05.300,450.0,WFM-NOAO-N,0.67 [0.04],1.41,474.983..934.983,3026.6328125
S.MUSE.2021-01-16T08:12:57.396.fits,NGC0474-175,20.491968,3.96873,2020-12-03 03:42:56,MUSE.2020-12-03T03:42:56.200,657.0,WFM-NOAO-N,0.91 [0.08],1.44,474.962..934.962,3026.52807617188
